epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2304,1.03766,3.31569,1.53076,0.00988,0.6,0.15202,0.10576,0.78962,3.77304,1.53143,0.00012221,0.00012221,0.00012221
2,128.746,0.92648,2.83569,1.46473,0.01961,0.72,0.20143,0.15845,0.82349,3.51775,1.5184,0.000247098,0.000247098,0.000247098
3,225.546,0.90733,2.22244,1.45472,0.47868,0.25,0.28928,0.16864,0.93122,3.40095,1.57583,0.000363186,0.000363186,0.000363186
4,325.251,0.90096,1.95823,1.4301,0.98612,0.18182,0.29305,0.18738,0.96045,2.83396,1.68104,0.000470475,0.000470475,0.000470475
5,371.376,0.92605,1.69414,1.48384,0.9378,0.2,0.36411,0.21797,1.06569,2.50094,1.84253,0.000568965,0.000568965,0.000568965
6,453.435,0.84562,1.56678,1.39328,0.94726,0.27207,0.45105,0.28348,1.0447,2.23265,1.72082,0.000658656,0.000658656,0.000658656
7,538.614,0.84023,1.61793,1.39835,0.71477,0.51876,0.51358,0.34081,0.95054,2.36049,1.5728,0.000739548,0.000739548,0.000739548
8,626.538,0.87306,1.62236,1.41941,0.68506,0.4877,0.6297,0.33857,0.91857,2.20307,1.58424,0.000811641,0.000811641,0.000811641
9,697.594,0.85421,1.54213,1.39927,0.33897,0.62024,0.63527,0.42765,0.95955,1.91339,1.60657,0.000817696,0.000817696,0.000817696
10,773.163,0.82129,1.47036,1.36021,0.4019,0.63468,0.67235,0.42572,0.95706,1.75357,1.62441,0.000781033,0.000781033,0.000781033
11,831.144,0.8478,1.43836,1.4262,0.83257,0.50682,0.68281,0.46433,0.86556,1.80999,1.55784,0.00074437,0.00074437,0.00074437
12,899.782,0.79789,1.37919,1.35203,0.84558,0.4905,0.66471,0.42569,0.82473,1.758,1.49252,0.000707707,0.000707707,0.000707707
13,940.662,0.79039,1.35265,1.32228,0.79818,0.56,0.59422,0.44833,0.81587,1.78064,1.44653,0.000671044,0.000671044,0.000671044
14,979.574,0.75758,1.29121,1.30943,0.77241,0.51868,0.71844,0.54544,0.77281,1.7363,1.43135,0.000634381,0.000634381,0.000634381
15,1034.69,0.74044,1.26302,1.30811,0.42398,0.70495,0.7762,0.53136,0.86585,1.74873,1.50567,0.000597718,0.000597718,0.000597718
16,1067.41,0.71546,1.23145,1.27765,0.48013,0.74154,0.7659,0.52089,0.88945,1.6816,1.54083,0.000561055,0.000561055,0.000561055
17,1090.35,0.71714,1.20181,1.30264,0.97604,0.50124,0.7315,0.54279,0.85349,1.56414,1.49874,0.000524392,0.000524392,0.000524392
18,1114.49,0.69121,1.21748,1.26332,0.58632,0.72696,0.77326,0.57263,0.80612,1.49923,1.43427,0.000487729,0.000487729,0.000487729
19,1159.69,0.70749,1.24516,1.297,0.77796,0.80494,0.8076,0.55188,0.80167,1.32351,1.41982,0.000451066,0.000451066,0.000451066
20,1201.4,0.63772,1.13468,1.22047,0.74075,0.7798,0.7945,0.56157,0.75128,1.27462,1.38731,0.000414403,0.000414403,0.000414403
21,1228.13,0.61939,1.51837,1.25904,0.55681,0.94691,0.80317,0.59373,0.75532,1.29546,1.3769,0.00037774,0.00037774,0.00037774
22,1275.18,0.60859,1.46398,1.24503,0.55758,0.73709,0.79513,0.57906,0.78632,1.44988,1.4217,0.000341077,0.000341077,0.000341077
23,1333.62,0.57881,1.40955,1.19323,0.9539,0.574,0.79014,0.56644,0.80015,1.43992,1.41889,0.000304414,0.000304414,0.000304414
24,1368.75,0.5716,1.422,1.18933,0.94374,0.5724,0.79388,0.58223,0.79947,1.42757,1.39621,0.000267751,0.000267751,0.000267751
25,1403.21,0.57158,1.32301,1.20784,0.58027,0.79799,0.79574,0.61101,0.77322,1.28705,1.35339,0.000231088,0.000231088,0.000231088
26,1434.77,0.52495,1.27197,1.15775,0.56283,0.81,0.81446,0.63726,0.75034,1.28142,1.33468,0.000194425,0.000194425,0.000194425
27,1505.1,0.54515,1.25039,1.20736,0.63209,0.91,0.83459,0.65644,0.70792,1.25161,1.31999,0.000157762,0.000157762,0.000157762
28,1555.28,0.55929,1.25509,1.16886,0.6611,0.91,0.84373,0.65858,0.70909,1.25785,1.32678,0.000121099,0.000121099,0.000121099
29,1631.12,0.49464,1.23903,1.13763,0.66423,0.86694,0.86762,0.68141,0.70751,1.2502,1.32245,8.4436e-05,8.4436e-05,8.4436e-05
30,1692.8,0.49611,1.24622,1.1107,0.67138,0.8608,0.86872,0.6882,0.70693,1.24555,1.31537,4.7773e-05,4.7773e-05,4.7773e-05
