                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66652,                 1.0419,                 1.1986,                0.63714,                0.82353,                0.80825,                 0.6222,                0.79954,                 1.4537,                 1.3714,               0.006634,               0.006634,               0.006634
                     37,                0.66636,                  1.067,                 1.1761,                0.56151,                0.87598,                0.69103,                0.51439,                 0.8821,                 1.4833,                 1.4696,               0.006535,               0.006535,               0.006535
                     38,                 0.6901,                 1.0534,                 1.1596,                0.62793,                0.87816,                0.70979,                0.52121,                0.81464,                 1.3626,                 1.3878,               0.006436,               0.006436,               0.006436
                     39,                0.63946,                 1.0164,                 1.1569,                 0.7987,                0.86264,                0.90048,                0.67445,                0.76185,                 1.2212,                 1.3006,               0.006337,               0.006337,               0.006337
                     40,                0.67784,                 1.0345,                 1.1723,                0.72193,                0.90221,                0.86707,                0.69216,                0.79162,                 1.2166,                 1.3224,               0.006238,               0.006238,               0.006238
                     41,                0.64591,                 1.0399,                 1.1671,                0.69731,                   0.92,                0.85248,                0.65992,                0.82253,                 1.2633,                  1.365,               0.006139,               0.006139,               0.006139
                     42,                0.66245,                 1.0165,                 1.1462,                0.66779,                0.95165,                0.89909,                0.66116,                0.84125,                 1.2775,                 1.3676,                0.00604,                0.00604,                0.00604
                     43,                0.63317,                0.98208,                 1.1434,                0.63258,                0.87845,                0.83293,                0.66167,                0.75189,                 1.1839,                 1.2883,               0.005941,               0.005941,               0.005941
                     44,                0.66611,                 1.0323,                 1.1959,                 0.6735,                   0.92,                 0.8409,                0.64904,                 0.7851,                 1.2047,                 1.3259,               0.005842,               0.005842,               0.005842
                     45,                0.61149,                0.95859,                  1.152,                0.77106,                0.83191,                0.83759,                0.59299,                0.86118,                 1.2916,                 1.4318,               0.005743,               0.005743,               0.005743
                     46,                0.62874,                0.96599,                 1.1352,                0.74816,                0.90151,                0.87175,                0.66265,                 0.7303,                 1.1819,                 1.3034,               0.005644,               0.005644,               0.005644
                     47,                0.60185,                0.92522,                 1.1049,                0.69151,                   0.83,                0.82135,                0.65139,                0.74906,                 1.2011,                    1.3,               0.005545,               0.005545,               0.005545
                     48,                0.65722,                 0.9678,                 1.1727,                0.67699,                   0.96,                0.84083,                0.64937,                0.82652,                 1.1393,                 1.3679,               0.005446,               0.005446,               0.005446
                     49,                0.59046,                0.91737,                  1.097,                0.71845,                0.94964,                0.82373,                0.64728,                0.77932,                 1.1489,                 1.3267,               0.005347,               0.005347,               0.005347
                     50,                0.60122,                0.88979,                 1.0918,                0.78755,                 0.7437,                0.80776,                0.64748,                0.71334,                 1.1026,                 1.2648,               0.005248,               0.005248,               0.005248
                     51,                0.58709,                0.87854,                 1.1007,                 0.6492,                0.89514,                0.83444,                0.65788,                0.72916,                 1.0883,                 1.2534,               0.005149,               0.005149,               0.005149
                     52,                0.55968,                 0.8724,                 1.0938,                0.77878,                0.89758,                0.90195,                0.71016,                0.73194,                 1.1122,                 1.2566,                0.00505,                0.00505,                0.00505
                     53,                0.56583,                0.87406,                 1.1034,                0.76253,                0.86396,                0.90722,                0.70455,                0.76185,                 1.1197,                 1.3058,               0.004951,               0.004951,               0.004951
                     54,                0.57118,                0.88056,                   1.13,                0.76938,                   0.96,                0.94589,                0.73157,                0.72597,                 1.0462,                 1.2715,               0.004852,               0.004852,               0.004852
                     55,                0.56966,                0.88583,                 1.1053,                0.88231,                0.89784,                 0.9669,                0.72194,                0.75017,                0.98634,                 1.2977,               0.004753,               0.004753,               0.004753
                     56,                0.55867,                0.86838,                 1.0999,                0.85274,                0.90929,                0.97833,                0.74793,                0.72304,                 0.9293,                 1.2784,               0.004654,               0.004654,               0.004654
                     57,                0.54413,                0.86992,                 1.0896,                0.63258,                0.93075,                0.91107,                0.73217,                0.69101,                0.99073,                 1.2798,               0.004555,               0.004555,               0.004555
                     58,                 0.5577,                0.89545,                 1.0973,                0.77541,                0.90643,                0.93372,                0.73968,                0.70528,                 1.0295,                 1.2712,               0.004456,               0.004456,               0.004456
                     59,                0.56285,                0.84006,                  1.098,                0.80301,                0.87064,                0.94929,                0.76212,                0.66199,                0.94085,                 1.1986,               0.004357,               0.004357,               0.004357
                     60,                0.56113,                0.81796,                 1.0879,                0.84648,                0.92104,                0.95833,                0.75408,                0.70656,                0.92315,                 1.2307,               0.004258,               0.004258,               0.004258
                     61,                0.56624,                0.85665,                 1.1076,                0.78359,                0.95118,                0.96167,                0.74882,                0.72218,                0.95906,                 1.2507,               0.004159,               0.004159,               0.004159
                     62,                0.57175,                0.84072,                 1.1043,                0.80681,                      1,                0.95214,                0.79622,                0.63814,                0.90028,                 1.1702,                0.00406,                0.00406,                0.00406
                     63,                0.57165,                0.84477,                 1.1157,                0.87421,                   0.92,                0.94239,                0.76655,                0.62358,                0.92869,                 1.1539,               0.003961,               0.003961,               0.003961
                     64,                0.52494,                0.81617,                 1.0821,                 0.7892,                 0.9802,                  0.945,                0.78718,                0.59124,                0.91472,                 1.1364,               0.003862,               0.003862,               0.003862
                     65,                0.53565,                0.79372,                 1.0728,                 0.8158,                   0.92,                0.94167,                0.74658,                0.62417,                0.87343,                 1.1648,               0.003763,               0.003763,               0.003763
                     66,                0.57756,                0.82967,                 1.1266,                0.81597,                   0.92,                0.93038,                0.73122,                0.61585,                 0.8921,                 1.1563,               0.003664,               0.003664,               0.003664
                     67,                0.51687,                0.79025,                  1.078,                0.83546,                0.91069,                0.96071,                0.76284,                0.58292,                0.82658,                 1.1307,               0.003565,               0.003565,               0.003565
                     68,                0.53872,                0.82767,                 1.0996,                0.85253,                0.95134,                0.94757,                0.78012,                0.63056,                0.87799,                 1.1561,               0.003466,               0.003466,               0.003466
                     69,                0.52216,                0.79646,                 1.0566,                0.91187,                0.91089,                0.95833,                0.78889,                0.62032,                 0.8539,                 1.1602,               0.003367,               0.003367,               0.003367
                     70,                0.52423,                0.80712,                 1.1037,                0.83406,                0.96609,                0.97167,                0.80243,                0.62511,                0.86572,                 1.1677,               0.003268,               0.003268,               0.003268
                     71,                0.53248,                0.77674,                 1.0725,                0.92427,                   0.83,                  0.935,                0.76464,                0.61318,                0.91237,                  1.159,               0.003169,               0.003169,               0.003169
                     72,                0.49532,                0.75571,                  1.046,                0.80932,                0.87316,                0.92624,                0.75723,                0.60761,                0.90852,                   1.15,                0.00307,                0.00307,                0.00307
                     73,                0.48723,                0.73012,                 1.0422,                0.80147,                0.92875,                0.93933,                0.75757,                 0.6217,                0.88514,                 1.1535,               0.002971,               0.002971,               0.002971
                     74,                 0.5151,                0.78126,                 1.0725,                0.87864,                0.84253,                0.93457,                 0.7853,                0.61816,                0.86706,                 1.1587,               0.002872,               0.002872,               0.002872
                     75,                 0.4825,                0.75589,                 1.0523,                0.78198,                0.99838,                0.91905,                0.76347,                0.58977,                0.91006,                 1.1439,               0.002773,               0.002773,               0.002773
                     76,                0.48935,                0.77482,                 1.0732,                0.81401,                0.99421,                0.91905,                0.77071,                0.61842,                0.90512,                 1.1754,               0.002674,               0.002674,               0.002674
                     77,                0.50639,                0.73743,                 1.0689,                0.79266,                0.86413,                0.93333,                0.78786,                0.61905,                0.89127,                 1.2097,               0.002575,               0.002575,               0.002575
                     78,                0.51968,                0.77191,                 1.0893,                 0.8263,                0.82132,                0.91643,                0.76041,                 0.6151,                0.86895,                 1.1983,               0.002476,               0.002476,               0.002476
                     79,                0.50239,                 0.7406,                 1.0567,                0.81964,                 0.8421,                0.91652,                0.74453,                0.61253,                0.86155,                 1.1758,               0.002377,               0.002377,               0.002377
                     80,                0.50016,                0.74132,                 1.0651,                0.77317,                 0.8596,                0.90536,                0.74016,                0.61253,                0.88632,                 1.1684,               0.002278,               0.002278,               0.002278
                     81,                0.47564,                0.75435,                 1.0503,                0.75561,                0.86015,                0.90868,                0.75062,                0.59267,                0.86415,                 1.1509,               0.002179,               0.002179,               0.002179
                     82,                0.51375,                  0.769,                  1.088,                 0.8483,                0.75641,                0.90424,                0.74228,                0.60898,                0.87518,                 1.1593,                0.00208,                0.00208,                0.00208
                     83,                0.48253,                0.75319,                 1.0752,                0.80001,                0.90725,                0.90583,                0.75438,                0.58109,                0.89038,                 1.1453,               0.001981,               0.001981,               0.001981
                     84,                0.46575,                0.71984,                 1.0546,                0.79734,                0.90325,                0.90402,                0.74346,                0.59461,                 0.8695,                 1.1527,               0.001882,               0.001882,               0.001882
                     85,                0.50166,                0.69392,                 1.0519,                0.83899,                0.88099,                  0.915,                0.73901,                0.61136,                0.88212,                 1.1765,               0.001783,               0.001783,               0.001783
                     86,                0.46203,                0.69993,                 1.0415,                 0.8136,                0.87804,                 0.9052,                0.75192,                0.61917,                0.85065,                 1.1905,               0.001684,               0.001684,               0.001684
                     87,                0.46242,                0.70021,                 1.0315,                 0.8449,                   0.87,                0.89386,                0.75131,                0.57466,                 0.8364,                 1.1499,               0.001585,               0.001585,               0.001585
                     88,                0.46191,                0.70627,                 1.0684,                0.80541,                0.87403,                0.92119,                0.76769,                0.57683,                0.82143,                 1.1462,               0.001486,               0.001486,               0.001486
                     89,                 0.4577,                0.69864,                 1.0379,                0.80809,                0.87569,                0.92775,                0.77219,                 0.5669,                 0.8107,                 1.1374,               0.001387,               0.001387,               0.001387
                     90,                0.43575,                0.64887,                 1.0113,                0.80732,                0.94704,                0.93433,                0.76689,                0.56786,                 0.8281,                 1.1418,               0.001288,               0.001288,               0.001288
                     91,                0.38975,                0.87524,                 1.0255,                0.79019,                0.86025,                0.90867,                  0.732,                0.59109,                0.85973,                  1.159,               0.001189,               0.001189,               0.001189
                     92,                0.35935,                0.82879,                0.94566,                0.76557,                0.89957,                0.90486,                0.71466,                 0.6151,                0.91252,                 1.1805,                0.00109,                0.00109,                0.00109
                     93,                0.36224,                0.84428,                0.95306,                0.71616,                 0.9434,                0.89052,                0.69329,                0.67179,                 1.0001,                 1.2136,               0.000991,               0.000991,               0.000991
                     94,                0.37398,                0.85208,                0.97995,                0.82514,                0.75083,                0.88711,                0.69238,                0.66873,                 1.0059,                 1.2198,               0.000892,               0.000892,               0.000892
                     95,                0.35988,                0.84325,                0.98017,                0.88689,                0.77075,                0.89969,                0.68815,                0.68039,                 1.0032,                 1.2486,               0.000793,               0.000793,               0.000793
                     96,                 0.3464,                0.80567,                0.94913,                0.86809,                0.81987,                0.91153,                0.70011,                0.67932,                0.98181,                 1.2463,               0.000694,               0.000694,               0.000694
                     97,                 0.3527,                0.78903,                0.93769,                0.88425,                0.79791,                0.92183,                0.70381,                0.65562,                0.92918,                 1.2216,               0.000595,               0.000595,               0.000595
                     98,                0.34626,                0.77626,                0.94753,                0.85881,                0.81109,                0.92705,                0.73786,                0.62588,                0.92796,                 1.1852,               0.000496,               0.000496,               0.000496
                     99,                0.35424,                0.81282,                0.97639,                0.80055,                0.92858,                  0.935,                0.73339,                0.60051,                0.91621,                 1.1638,               0.000397,               0.000397,               0.000397
                    100,                 0.3551,                0.79195,                0.98316,                0.80349,                0.93111,                0.93652,                0.73788,                0.59235,                0.90927,                 1.1548,               0.000298,               0.000298,               0.000298
